headline,link,date
Rainfall and malaria outbreaks in western Rajasthan,https://news.google.com/read/CBMihgFBVV95cUxPLTJ2WmlIVUh3LThIZ1VVM0NfOERSSVpBeVZQajlwbDdhdzZwN0JVQ2ZLdmtpekg1RFpULWJxamxqbVVkeVYxZlBfcGZ0VnBEVkxzdUpCcG9YSGk0SFpzQVJGOEU3ZFR3Q2Z5bldEeFlKcDJ1UHBJaWVDaEJYbU4tWXRHRjdpQQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2020-11-17
"Malaria deaths rise in Oromia’s West Wollega Zone, new infections climb nationwide",https://news.google.com/read/CBMiqwFBVV95cUxQYlpjVUJPWTBXRUZmTl9Gbm53a0JkeWV3WUZ5VmNZRlZVVjJDdVBtNFdDbU01aW9iSE9mc25EZW5QZUF2YmF3c3JjRXRKcTZPY1Bxb1J5am9IM09IMUxURU5vU2tqaFNZU0wxNk1kYzBjTUt4SExGckJ0em5GZ3QxS19PYnV3dkVlNkVhYm5fYi1kLXg0VnAtWkF1OURRMll6c2s4ak4xZkczYmPSAasBQVVfeXFMUGJaY1VCT1kwV0VGZk5fRm5ud2tCZHlld1lGeVZjWUZWVVYyQ3VQbTRXQ21NNWlvYkhPZnNuRGVuUGVBdmJhd3NyY0V0SnE2T2NQcW9SeWpvSDNPSDFMVEVOb1NramhTWVNMMTZNZGMwY01LeEhMRnJCdHpuRmd0MUtfT2J1d3ZFZTZFYWJuX2ItZC14NFZwLVpBdTlEUTJZenNrOGpOMWZHM2Jj?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-06-15
"Risk factors associated with malaria outbreak in Laelay Adyabo district northern Ethiopia, 2017: case-control study design",https://news.google.com/read/CBMiggFBVV95cUxPeHczSjUzOUdHRnZ0cDBKWHZveXBsblowZXNJeTNGTEgxRVZqaTNqdC1BcWtYdWtiOURtZHVQVEhjUF9DcDRvN0NsMjhLT3MyTjRKWUc2QnNCV2l5WEdmWk8za1NBVFhOS1JqSDU1bzRnMG1GTWJVMFh3OU5GdzRSS01B?hl=en-IN&gl=IN&ceid=IN%3Aen,2019-05-02
"Effectiveness of 24-h mobile reporting tool during a malaria outbreak in Mpumalanga Province, South Africa",https://news.google.com/read/CBMigAFBVV95cUxNNTJ1YzBoRE5GY3lNUVBqWWtlSGdiVDVLVkJWc1FHdmZXOE9PalBiM0hkck5LNkVWZ1FEMG5JU0x1Rlk5X1lGT1ZrMEs2UWwzd0lmWWdPelZvblVaby1KNzVscFZMa1JWSDdGYXNPaUNXNlo1WlhaYjhldXZfemRObA?hl=en-IN&gl=IN&ceid=IN%3Aen,2019-02-21
Malaria Outbreaks In Mirpurkhas,https://news.google.com/read/CBMiigFBVV95cUxOZDBSUmdiSl9CTG1ROU44cGVXeWw4NGc5RldkMWdHem1DZ2dKSHhwdG50Z09BZTRzX2V0VVZfRTFsT2xCYlN1b01UdVliOWYyYzVQUUNzZjh2Vi1nclBDcnFIQkFZQmlNdFZKNF9GY1ZSMjhNaUg2di1aRVAzQkxDbmNCV28xczZhclE?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-10-03
"Ethiopia battles triple threat: cholera, measles, and malaria outbreaks",https://news.google.com/read/CBMimwFBVV95cUxPV1Ayd1NwZF9TcHl5SU1rZ3o5b0tUakd5Y3ZYUHItZHdKbWJ6NmxCUlFaMFdOWmF4cmgxNUcwWTh3azZDM1U3Y0RRQV9KczcyQkM3a2dldk5uN2ZfNzFua0Rma253S2hEODdZYlREUFUzdUZwdVhDN3VVN3BwbU1FYUxoYjNjcndZMjYxUzM3Z0trVDdBMjhaczhBSdIBmwFBVV95cUxPV1Ayd1NwZF9TcHl5SU1rZ3o5b0tUakd5Y3ZYUHItZHdKbWJ6NmxCUlFaMFdOWmF4cmgxNUcwWTh3azZDM1U3Y0RRQV9KczcyQkM3a2dldk5uN2ZfNzFua0Rma253S2hEODdZYlREUFUzdUZwdVhDN3VVN3BwbU1FYUxoYjNjcndZMjYxUzM3Z0trVDdBMjhaczhBSQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-06-29
"Plasmodium falciparum outbreak in native communities of Condorcanqui, Amazonas, Perú",https://news.google.com/read/CBMiggFBVV95cUxOcXAzTVA2U1k4QlFxS01ab2F0Ml9MTC10ZEpwaGMyM1l6WXhOa2hnaUpYV0hFdndXNkxrc1VUVENDTGNFSFpsYlZMVFhONDJJRkFLdG1CRFVIUW5NRWlnZzlhdHY1aGNpSzJzYzJNaHJ2cmlKTXdRX08tX19EUGIyV0dR?hl=en-IN&gl=IN&ceid=IN%3Aen,2021-02-12
Malaria breakthrough as AI could be used to predict next outbreak,https://news.google.com/read/CBMiwgFBVV95cUxOLWJRclRlQ19uSnU2cmQ2bE1TNGhQcEZRREVkVmg4RmZoLTZqQWNFajFWRG14aXFaYzQ5Unk0QlBPdlBPUWFqVmlrR3FNdzduRFF0TjVJb051aENjS3ZoeWl4T3FZMWxodWx6bTdjNktWcktTVUc1dDhWWlFJSGt4ZTkzUTcyWDc2QldRMkZ1UF94Vzk4aGpKUk4tTUx0UlU0NE85NEE3Yll4YU42UXR2U2xUNzJoNWlxd0RmY242QkRaZw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-12-19
Malaria outbreak in Laos caused by formerly rare artemisinin resistant strains of Plasmodium falciparum,https://news.google.com/read/CBMiiwFBVV95cUxPcHVPaDMtdDBZaWkzeVBKd2JhNl9jbmJzVklVNnIzWGU4ajE3VUtnSHJtZDg1eDBHS0dONFdmNnlwd0ExMDdvdWRaN2RBZDAtb0RIOGwzY3A4X2pfUVFaWVVHV1NiMGxSN0dsUTI3NFluSUNFVjNjcE9lUldxMXRJY2hCWDhkVHJ2VlY0?hl=en-IN&gl=IN&ceid=IN%3Aen,2022-11-30
Asian mosquito causes malaria outbreaks in African cities Sharp expansion of malaria area due to fast spreading of imported mosquito,https://news.google.com/read/CBMitAFBVV95cUxPS1Y2UUVNT2o3YUFMSzFPbV9oOVpObUZTU1BCLV8zOUMzZ3VOc3U2WHNuckRjTXE1RVdpLXhWVFB0UVB6NUZzOFlWQkhPUHJHemR6c1ViN1pWOTBqbXRCMFdTNWhnYlJIOFlXYnBxXzFDY3hfd01XUXRsSGVDY2ppV0Jpd2RYX1pnbzZ5LWZxM0kyRll1QmZqUTk5Vm1iblBjdm9STHpzS2Fvc1NSNTNMNE9sM1E?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-06
"Malaria outbreak in Riaba district, Bioko Island: lessons learned",https://news.google.com/read/CBMiggFBVV95cUxQUXozaEt1anFXUG9Ma1hBVnhQSmRKaDNjaV9XSWtkR0lHSUF1Q2VseGtUTWNqRnFzeWhZdU5tR1I5c29YXzhXYlY0VmJmNTBRcjktUmE4ekh1cmZGN0lISG11bjl5cTFUVTItdVBlRWpZdzJFVmJpMmpLOGZsakx0YTBB?hl=en-IN&gl=IN&ceid=IN%3Aen,2020-08-03
Big data 'can stop malaria outbreaks before they start',https://news.google.com/read/CBMiUkFVX3lxTE5pdmlWU3diUzBwVnotQW85WUVidDZpNjlONnh2M2lacWNnVUN6UnlDbzNRVjVINDhrNjNNUzRDbDgyWWRuNTdrdHdPSUZCSjNmR2fSAVdBVV95cUxPRkNPSzlWQ2R5RTVpQ1Z4UFNrTGFOQTlyaUlwT1V6SlBQZFpGZ3R1TkdTeFdaa2xHb2JWTU05VHkweFBYRjdpTWtQdVZSZmU2bEdJckxPR3c?hl=en-IN&gl=IN&ceid=IN%3Aen,2019-06-10
"Outbreak of Locally Acquired Mosquito-Transmitted (Autochthonous) Malaria — Florida and Texas, May–July 2023",https://news.google.com/read/CBMiYEFVX3lxTE9JcG1lMUxZV1c5a1o1aDR5UmlGeEc1d044NmZ3Vm9fYTNTUUZpTERpU0VISlduLW9uWHdfX0xBUlAybEtwRUhVekdSQnRhenpfYXcxVG13bGtIb21rRWxiYg?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-08
"Punjab health department, private hospitals join hands to combat dengue, malaria outbreaks in Ludhiana",https://news.google.com/read/CBMiiwJBVV95cUxNNE9DR0d6WWVIQzJ6NV9TU1QydHctMFNrVDRpVGNRcGdMWVZyMkNyLXJGcTNFV2VVNlRTSzAyR3hSUTliRzRKcFlCSFQtb0RkM25rVlp5TU5tS2RYS0xqdUtZZWo0b21RTUpkUVhZeG82c0FaLWtBMkU0eURtS1dXem9oemp5anZYcUVwYkUtNnl3NmVRbEZFLU92V1ZKakhyV0kwdVVqd1YtMmFGSDF2OGRrUmk3TVZ0MUJjNGRKVHV4bGl1dUdzXzRickdiU1MyWkk4XzBYWGtXM2MyeWRZamNaazV4dkxMbkJtcTB1OC1wNGZ4Q1hNeFp3S0g0QWppSXRKZlpzNWtXU1nSAZACQVVfeXFMTTZ3OC00Y0h4QzZzNFVHaDE1TVR1U2YzVDBGVGRSUXNCN243R0VOVFN3aEtSTThNd0UwaEx3Z09sdTJzN01HZDRKQklkSDBCX2xTcTRBZlVwamJmd1JtVjhLTGVhenlhRlhLTk9UVjAwaWdhZjI1TXQ3cEV4TkxKQ0MwLVdPOWV1ZE9CREdUZHhZVzhLSWtTcE44RnpBVFpYbkJSSDVGUjhwRTdkOVpWeFZNWWRBcFU0Wjk2WGZqZ2swQjNpdG8tc21QaUVIT2JkajVQSzNJdG1feVk1eTVyYXFYM0tPbFRvV09oODl2MnV1dDNydjJxMjd4N051NTNITkpKZlBENDJFaHcyN2ZITFc?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-24
"Factors associated with a malaria outbreak at Tongogara refugee camp in Chipinge District, Zimbabwe, 2021: a case–control study",https://news.google.com/read/CBMiggFBVV95cUxQNm1NTDJ3WnUxU2JNcm5TYnBHVDNCNXhub3pZMExzVnlVeml0ZzhSa3NxbmVPMGloUTNQdGdWOVZidGNNWjVkVUM3Vm9OWGE3ZXJ0WVRTSjBBVUtCdnplbnA5c3NKN1lVbVNqTnRHUThmN3lIYlc5X0d6Wm0xdE14amhB?hl=en-IN&gl=IN&ceid=IN%3Aen,2022-03-19
Costa Rica Malaria Outbreak Reaches 544 Cases,https://news.google.com/read/CBMimgFBVV95cUxNMjlOZ2N6dDcyR3pDUXJOdkc3QnNhd203Nlc0M0tiX1ZhdWZuWm41ZDE2UzRUcTRFRmRxYnFFVVM3S1JYU2FuYzVUOHRXSlhzelJxcFJESklaeXpUT2RKTXBMMzJVeVliLTZvd01INmdBcDh6UjZDNHZDeDhpbjJxRzFCNDVvVG1TWWswX0pzbjJJalBkMS1EWlRB?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-12-23
